"days_btwn_clams_sort","clams_color","clams_stage","clams_count","weight","avg_weight","clams_growth","growth_pct","clams_sr","date","grouping_variable"
34,"Blue","In",9600,211.453744493392,45.4,20.5066079295154,0.0969791666666666,0.781629166666667,2023-09-13,1
34,"Blue","Out",7503.64,231.960352422907,35.4876666666667,20.5066079295154,0.0969791666666666,0.781629166666667,2023-10-17,1
85,"Yellow","In",9600,52.863436123348,181.6,0,0,1,2023-09-12,2
85,"Yellow","Out",9600,52.863436123348,181.6,0,0,1,2023-12-06,2
42,"Yellow","In",9990,14.6696035242291,681,78.942731277533,5.38138138138138,0.978978978978979,2023-10-31,3
42,"Yellow","Out",9780,93.6123348017621,99.88,78.942731277533,5.38138138138138,0.978978978978979,2023-12-12,3
33,"Blue","In",8568,104.845814977974,81.72,-11.6299559471366,-0.110924369747899,0.317178338001867,2023-11-30,4
33,"Blue","Out",2717.584,93.215859030837,25.878,-11.6299559471366,-0.110924369747899,0.317178338001867,2024-01-02,4
36,"Yellow","In",6003,15.1982378854626,394.98,4.62555066079295,0.304347826086956,1.49925037481259,2023-12-05,5
36,"Yellow","Out",9000,19.8237885462555,454,4.62555066079295,0.304347826086956,1.49925037481259,2024-01-10,5
22,"Blue","In",2303.28,72.4757709251101,31.78,-40.6333039647577,-0.560646729880866,1.4357583967212,2024-01-02,6
22,"Blue","Out",3306.9536,31.8424669603524,93.07,-40.6333039647577,-0.560646729880866,1.4357583967212,2024-01-24,6
57,"Yellow","In",24576,16.9162995594714,1452.8,48.8502202643172,2.88776041666667,1.50245361328125,2023-12-05,7
57,"Yellow","Out",36924.3,65.7665198237885,663.975,48.8502202643172,2.88776041666667,1.50245361328125,2024-01-31,7
44,"Yellow","In",40000,44.0528634361233,908,30.726872246696,0.6975,1.2734825,2023-12-26,8
44,"Yellow","Out",50939.3,74.7797356828194,555.242,30.726872246696,0.6975,1.2734825,2024-02-08,8
34,"Yellow","In",9000,19.8237885462555,454,19.7136563876652,0.994444444444444,1.1055,2024-01-10,9
34,"Yellow","Out",9949.5,39.5374449339207,276.94,19.7136563876652,0.994444444444444,1.1055,2024-02-13,9
37,"Blue","In",5393,17,317.8,64,3.75,0.7,2024-02-06,10
37,"Blue","Out",3800,81,39.7,64,3.75,0.7,2024-03-14,10
42,"Yellow2","In",22801,107,195.2,128,1.2,1.09,2024-02-06,11
42,"Yellow2","Out",24797,234,108.8,128,1.2,1.09,2024-03-19,11
53,"Yellow","In",35562,51,728.7,43,0.85,0.7,2024-02-03,12
53,"Yellow","Out",24869,94,272.4,43,0.85,0.7,2024-03-27,12
